date,price
1/1/2013,57.220001
1/8/2013,58.110001
1/15/2013,58.150002
1/22/2013,58.740002
1/29/2013,58.380001
2/5/2013,58.470001
2/12/2013,58.43
2/19/2013,57.09
2/26/2013,58.349998
3/5/2013,59.560001
3/12/2013,59.209999
3/19/2013,58.619999
3/26/2013,58.189999
4/2/2013,59
4/9/2013,59.220001
4/16/2013,59.349998
4/23/2013,61.860001
4/30/2013,62.470001
5/7/2013,62.66
5/14/2013,63.400002
5/21/2013,61.450001
5/28/2013,60.299999
6/4/2013,60.360001
6/11/2013,60.66
6/18/2013,57.029999
6/25/2013,57.84
7/2/2013,58.200001
7/9/2013,60.18
7/16/2013,61.009998
7/23/2013,60.220001
7/30/2013,61.540001
8/6/2013,61.669998
8/13/2013,61.25
8/20/2013,61.119999
8/27/2013,59.169998
9/3/2013,61.970001
9/10/2013,63.32
9/17/2013,64.25
9/24/2013,63.799999
10/1/2013,63.189999
10/8/2013,64.660004
10/15/2013,66.18
10/22/2013,66.349998
10/29/2013,65.879997
11/5/2013,65.360001
11/12/2013,66.18
11/19/2013,65.949997
11/26/2013,65.75
12/3/2013,65.300003
12/10/2013,64.529999
12/17/2013,65.739998
12/24/2013,66.849998
12/31/2013,65.900002
1/7/2014,66.230003
1/14/2014,66.809998
1/21/2014,64.550003
1/28/2014,62.310001
2/4/2014,64.900002
2/11/2014,66.489998
2/18/2014,67.550003
2/25/2014,66.080002
3/4/2014,67.239998
3/11/2014,65.940002
3/18/2014,65.330002
3/25/2014,67.199997
4/1/2014,67.040001
4/8/2014,66.639999
4/15/2014,67.620003
4/22/2014,67.610001
4/29/2014,68.349998
5/6/2014,68.669998
5/13/2014,68.349998
5/20/2014,68.720001
5/27/2014,69.550003
6/3/2014,70.150002
6/10/2014,69.739998
6/17/2014,70.360001
6/24/2014,68.370003
7/1/2014,68.68
7/8/2014,67.970001
7/15/2014,67.629997
7/22/2014,67.959999
7/29/2014,66.440002
8/5/2014,65.529999
8/12/2014,66.559998
8/19/2014,66.900002
8/26/2014,66.709999
9/2/2014,66.290001
9/9/2014,65.879997
9/16/2014,65.68
9/23/2014,64.169998
9/30/2014,63.080002
10/7/2014,60.299999
10/14/2014,61.02
10/21/2014,61.880001
10/28/2014,63.400002
11/4/2014,63.130001
11/11/2014,63.110001
11/18/2014,64.150002
11/25/2014,63.93
12/2/2014,63.400002
12/9/2014,59.970001
12/16/2014,62
12/23/2014,61.790001
