date,price
1/1/2013,122.739998
1/8/2013,121.620003
1/15/2013,122.199997
1/22/2013,121.169998
1/29/2013,118.669998
2/5/2013,120.019997
2/12/2013,119.160004
2/19/2013,118.599998
2/26/2013,118.68
3/5/2013,118.120003
3/12/2013,117.760002
3/19/2013,117.529999
3/26/2013,117.290001
4/2/2013,120.480003
4/9/2013,120.559998
4/16/2013,120.360001
4/23/2013,120.93
4/30/2013,121.269997
5/7/2013,119.709999
5/14/2013,119.260002
5/21/2013,117.800003
5/28/2013,114.650002
6/4/2013,112.25
6/11/2013,113.150002
6/18/2013,103.690002
6/25/2013,109.870003
7/2/2013,108.169998
7/9/2013,109.290001
7/16/2013,111.529999
7/23/2013,110.25
7/30/2013,109.120003
8/6/2013,109.730003
8/13/2013,106.809998
8/20/2013,107.050003
8/27/2013,106.160004
9/3/2013,105.860001
9/10/2013,107.5
9/17/2013,109.75
9/24/2013,109.029999
10/1/2013,109.169998
10/8/2013,109.949997
10/15/2013,111.220001
10/22/2013,111.720001
10/29/2013,110.300003
11/5/2013,107.919998
11/12/2013,109.440002
11/19/2013,109.269997
11/26/2013,107.260002
12/3/2013,108.160004
12/10/2013,108.510002
12/17/2013,109.129997
12/24/2013,108.379997
12/31/2013,108.709999
1/7/2014,108.879997
1/14/2014,109.160004
1/21/2014,107.43
1/28/2014,106.690002
2/4/2014,108.419998
2/11/2014,108.529999
2/18/2014,109.360001
2/25/2014,109.120003
3/4/2014,109.330002
3/11/2014,109.279999
3/18/2014,109.68
3/25/2014,111.419998
4/1/2014,111.330002
4/8/2014,112.059998
4/15/2014,112.309998
4/22/2014,111.589996
4/29/2014,112.029999
5/6/2014,113.449997
5/13/2014,114.089996
5/20/2014,114.300003
5/27/2014,115.239998
6/3/2014,115.510002
6/10/2014,114.139999
6/17/2014,114.870003
6/24/2014,115.269997
7/1/2014,114.669998
7/8/2014,115.32
7/15/2014,115.519997
7/22/2014,115.57
7/29/2014,113.650002
8/5/2014,113.800003
8/12/2014,115.050003
8/19/2014,114.949997
8/26/2014,115.629997
9/2/2014,114.68
9/9/2014,113.440002
9/16/2014,113.660004
9/23/2014,112.910004
9/30/2014,113.099998
10/7/2014,113.059998
10/14/2014,114.209999
10/21/2014,114.309998
10/28/2014,113.800003
11/4/2014,113.419998
11/11/2014,112.919998
11/18/2014,114.029999
11/25/2014,112.690002
12/2/2014,111.68
12/9/2014,106.699997
12/16/2014,111.550003
12/23/2014,110.260002
12/30/2014,108.620003
1/6/2015,109.400002
1/13/2015,110.809998
1/20/2015,110.610001
1/27/2015,111.489998
2/3/2015,111.510002
2/10/2015,111.75
2/17/2015,111.349998
2/24/2015,111.720001
3/3/2015,110.639999
3/10/2015,109.400002
3/17/2015,111.989998
3/24/2015,112.169998
3/31/2015,113.260002
4/7/2015,113.459999
4/14/2015,113.099998
4/21/2015,114.239998
4/28/2015,112.669998
5/5/2015,112.400002
5/12/2015,112.559998
5/19/2015,112.860001
5/26/2015,111.330002
6/2/2015,109.809998
6/9/2015,108.910004
6/16/2015,110.370003
6/23/2015,109.639999
6/30/2015,109.510002
7/7/2015,109.709999
7/14/2015,109.529999
7/21/2015,108.550003
7/28/2015,108.760002
8/4/2015,108.489998
8/11/2015,108.620003
8/18/2015,105.57
8/25/2015,108.010002
9/1/2015,107.639999
9/8/2015,107.889999
9/15/2015,108.5
9/22/2015,105.879997
9/29/2015,107.360001
10/6/2015,108.68
10/13/2015,109.550003
10/20/2015,109.309998
10/27/2015,108.139999
11/3/2015,107.669998
11/10/2015,107.940002
11/17/2015,108.879997
11/24/2015,108.389999
12/1/2015,107.080002
12/8/2015,105.709999
12/15/2015,105.800003
12/22/2015,105.660004
12/29/2015,105.669998
1/5/2016,105.169998
1/12/2016,103.360001
1/19/2016,104.07
1/26/2016,104.879997
2/2/2016,104.660004
2/9/2016,104.709999
2/16/2016,106.540001
2/23/2016,107.25
3/1/2016,108.400002
3/8/2016,108.599998
3/15/2016,110.410004
3/22/2016,109.459999
3/29/2016,110.18
4/5/2016,110.540001
4/12/2016,111.410004
4/19/2016,110.910004
4/26/2016,111.199997
5/3/2016,110.809998
5/10/2016,111.910004
5/17/2016,110.489998
5/24/2016,111.040001
5/31/2016,112.209999
6/7/2016,112
6/14/2016,112.599998
6/21/2016,112.650002
6/28/2016,115.059998
7/5/2016,116.690002
7/12/2016,116.209999
7/19/2016,115.910004
7/26/2016,115.25
8/2/2016,116.300003
8/9/2016,117.639999
8/16/2016,117.57
8/23/2016,117.690002
8/30/2016,116.919998
9/6/2016,116.260002
9/13/2016,115.760002
9/20/2016,116.879997
9/27/2016,116.940002
10/4/2016,116.779999
10/11/2016,115.57
10/18/2016,116.470001
10/25/2016,114.690002
11/1/2016,114.940002
11/8/2016,108.160004
11/15/2016,109.580002
11/22/2016,109.690002
11/29/2016,108.790001
12/6/2016,109.709999
12/13/2016,109.599998
12/20/2016,110.089996
12/27/2016,110.220001
1/3/2017,111.959999
1/10/2017,112.160004
1/17/2017,112.230003
1/24/2017,111.720001
1/31/2017,112.690002
2/7/2017,113.129997
2/14/2017,112.949997
2/21/2017,113.559998
2/28/2017,113.110001
3/7/2017,111.739998
3/14/2017,113.279999
3/21/2017,113.730003
3/28/2017,113.57
4/4/2017,113.639999
4/11/2017,114.290001
4/18/2017,114.889999
4/25/2017,114.599998
5/2/2017,114.160004
5/9/2017,115.059998
5/16/2017,114.870003
5/23/2017,115.489998
5/30/2017,115.809998
6/6/2017,115.519997
6/13/2017,115.449997
6/20/2017,115.510002
6/27/2017,113.550003
7/4/2017,113.400002
7/11/2017,114.519997
7/18/2017,115.059998
7/25/2017,115.260002
8/1/2017,115.440002
8/8/2017,115.230003
8/15/2017,115.660004
8/22/2017,116.199997
8/29/2017,116.529999
9/5/2017,117.059998
9/12/2017,116.830002
9/19/2017,116.330002
9/26/2017,115.860001
10/3/2017,115.529999
10/10/2017,116.209999
10/17/2017,115.940002
10/24/2017,116.139999
10/31/2017,115.260002
11/7/2017,114.580002
11/14/2017,115.209999
11/21/2017,115.870003
11/28/2017,115.489998
12/5/2017,115.470001
12/12/2017,116.169998
12/19/2017,115.739998
12/26/2017,116.099998
1/2/2018,116.510002
1/9/2018,116.129997
1/16/2018,115.589996
1/23/2018,115.389999
1/30/2018,113.459999
2/6/2018,112.040001
2/13/2018,112.849998
2/20/2018,112.989998
2/27/2018,112
3/6/2018,112.260002
3/13/2018,111.760002
3/20/2018,111.760002
3/27/2018,112.230003
4/3/2018,112.459999
4/10/2018,112.269997
4/17/2018,110.879997
4/24/2018,110.139999
5/1/2018,108.18
5/8/2018,108.980003
5/15/2018,107.93
5/22/2018,109.620003
5/29/2018,107.959999
6/5/2018,107.480003
6/12/2018,106.209999
6/19/2018,106.910004
6/26/2018,106.32
7/3/2018,108.559998
7/10/2018,108.790001
7/17/2018,108.419998
7/24/2018,109.260002
7/31/2018,108.129997
8/7/2018,105.900002
8/14/2018,106.879997
8/21/2018,107.540001
8/28/2018,106.099998
9/4/2018,105.400002
9/11/2018,106.360001
9/18/2018,107.129997
9/25/2018,107.360001
10/2/2018,105.809998
10/9/2018,105.830002
10/16/2018,105.349998
10/23/2018,104.989998
10/30/2018,104.830002
11/6/2018,104.230003
11/13/2018,103.660004
11/20/2018,103.080002
11/27/2018,103.959999
12/4/2018,104.07
