date,price
1/1/2013,41.049999
1/8/2013,41.080002
1/15/2013,41.130001
1/22/2013,41.360001
1/29/2013,41.310001
2/5/2013,40.599998
2/12/2013,40.48
2/19/2013,40.73
2/26/2013,40.830002
3/5/2013,40.810001
3/12/2013,40.939999
3/19/2013,41.099998
3/26/2013,41.07
4/2/2013,40.959999
4/9/2013,40.970001
4/16/2013,41.080002
4/23/2013,41.25
4/30/2013,41.650002
5/7/2013,41.810001
5/14/2013,41.529999
5/21/2013,41.59
5/28/2013,41.360001
6/4/2013,40.330002
6/11/2013,39.950001
6/18/2013,40.299999
6/25/2013,38.93
7/2/2013,39.43
7/9/2013,39.650002
7/16/2013,40.27
7/23/2013,40.84
7/30/2013,40.220001
8/6/2013,39.84
8/13/2013,39.799999
8/20/2013,39.259998
8/27/2013,39.529999
9/3/2013,39.619999
9/10/2013,39.529999
9/17/2013,39.810001
9/24/2013,40.139999
10/1/2013,39.630001
10/8/2013,39.91
10/15/2013,40.110001
10/22/2013,40.59
10/29/2013,40.740002
11/5/2013,40.450001
11/12/2013,40.27
11/19/2013,40.470001
11/26/2013,40.639999
12/3/2013,40.439999
12/10/2013,40.599998
12/17/2013,40.57
12/24/2013,40.630001
12/31/2013,40.529999
1/7/2014,40.66
1/14/2014,40.810001
1/21/2014,40.919998
1/28/2014,40.639999
2/4/2014,40.5
2/11/2014,40.759998
2/18/2014,41
2/25/2014,41.290001
3/4/2014,41.310001
3/11/2014,41.119999
3/18/2014,41.099998
3/25/2014,41.23
4/1/2014,41.150002
4/8/2014,41.200001
4/15/2014,41.240002
4/22/2014,41.279999
4/29/2014,41.349998
5/6/2014,41.209999
5/13/2014,41.360001
5/20/2014,41.450001
5/27/2014,41.459999
6/3/2014,41.299999
6/10/2014,41.549999
6/17/2014,41.599998
6/24/2014,41.779999
7/1/2014,41.580002
7/8/2014,41.57
7/15/2014,41.400002
7/22/2014,41.09
7/29/2014,41.150002
8/5/2014,40.529999
8/12/2014,40.93
8/19/2014,41.32
8/26/2014,41.400002
9/2/2014,41.23
9/9/2014,40.880001
9/16/2014,40.470001
9/23/2014,40.610001
9/30/2014,40.110001
10/7/2014,40.23
10/14/2014,39.43
10/21/2014,40.470001
10/28/2014,40.400002
11/4/2014,40.189999
11/11/2014,40.220001
11/18/2014,39.77
11/25/2014,39.900002
12/2/2014,39.099998
12/9/2014,38.57
12/16/2014,37.330002
12/23/2014,38.900002
12/30/2014,38.73
1/6/2015,38.299999
1/13/2015,38.830002
1/20/2015,38.630001
1/27/2015,38.860001
2/3/2015,38.860001
2/10/2015,39.259998
2/17/2015,39.450001
2/24/2015,39.580002
3/3/2015,39.57
3/10/2015,39.099998
3/17/2015,38.959999
3/24/2015,39.220001
3/31/2015,39.209999
4/7/2015,39.279999
4/14/2015,39.41
4/21/2015,39.619999
4/28/2015,39.59
5/5/2015,39.369999
5/12/2015,39.18
5/19/2015,39.32
5/26/2015,39.360001
6/2/2015,39.220001
6/9/2015,38.790001
6/16/2015,38.560001
6/23/2015,38.82
6/30/2015,38.450001
7/7/2015,38.18
7/14/2015,38.27
7/21/2015,38.09
7/28/2015,37.560001
8/4/2015,37.709999
8/11/2015,37.330002
8/18/2015,37.130001
8/25/2015,36.73
9/1/2015,36.599998
9/8/2015,36.950001
9/15/2015,37
9/22/2015,36.540001
9/29/2015,35.529999
10/6/2015,35.720001
10/13/2015,36.200001
10/20/2015,36.400002
10/27/2015,36.490002
11/3/2015,36.41
11/10/2015,35.900002
11/17/2015,35.59
11/24/2015,35.139999
12/1/2015,35.209999
12/8/2015,34.610001
12/15/2015,33.779999
12/22/2015,33.619999
12/29/2015,33.810001
1/5/2016,33.759998
1/12/2016,33.529999
1/19/2016,32.689999
1/26/2016,32.720001
2/2/2016,32.66
2/9/2016,31.780001
2/16/2016,32.099998
2/23/2016,32.619999
3/1/2016,33.32
3/8/2016,33.759998
3/15/2016,34.060001
3/22/2016,34.470001
3/29/2016,33.919998
4/5/2016,33.830002
4/12/2016,34.27
4/19/2016,34.880001
4/26/2016,35.029999
5/3/2016,35.080002
5/10/2016,34.709999
5/17/2016,35.060001
5/24/2016,35.119999
5/31/2016,35.299999
6/7/2016,35.34
6/14/2016,35.02
6/21/2016,35.310001
6/28/2016,34.880001
7/5/2016,35.48
7/12/2016,36.299999
7/19/2016,36.209999
7/26/2016,36.18
8/2/2016,35.709999
8/9/2016,36.299999
8/16/2016,36.540001
8/23/2016,36.580002
8/30/2016,36.75
9/6/2016,36.639999
9/13/2016,36.220001
9/20/2016,36.25
9/27/2016,36.360001
10/4/2016,36.560001
10/11/2016,36.779999
10/18/2016,36.68
10/25/2016,36.84
11/1/2016,36.110001
11/8/2016,36.150002
11/15/2016,35.599998
11/22/2016,35.93
11/29/2016,36
12/6/2016,36.150002
12/13/2016,36.540001
12/20/2016,36.470001
12/27/2016,36.630001
1/3/2017,36.580002
1/10/2017,36.779999
1/17/2017,36.779999
1/24/2017,36.759998
1/31/2017,36.919998
2/7/2017,36.860001
2/14/2017,36.959999
2/21/2017,37.009998
2/28/2017,37.220001
3/7/2017,36.830002
3/14/2017,36.23
3/21/2017,36.650002
3/28/2017,36.52
4/4/2017,36.759998
4/11/2017,36.810001
4/18/2017,36.810001
4/25/2017,37.080002
5/2/2017,37
5/9/2017,37.02
5/16/2017,37.220001
5/23/2017,37.299999
5/30/2017,37.330002
6/6/2017,37.209999
6/13/2017,37.23
6/20/2017,37.16
6/27/2017,37.16
7/4/2017,37.029999
7/11/2017,36.91
7/18/2017,37.220001
7/25/2017,37.389999
8/1/2017,37.27
8/8/2017,37.220001
8/15/2017,36.959999
8/22/2017,36.889999
8/29/2017,37.040001
9/5/2017,37.09
9/12/2017,37.060001
9/19/2017,37.18
9/26/2017,37.259998
10/3/2017,37.150002
10/10/2017,37.23
10/17/2017,37.169998
10/24/2017,37.299999
10/31/2017,37.220001
11/7/2017,36.990002
11/14/2017,36.599998
11/21/2017,36.869999
11/28/2017,36.91
12/5/2017,36.77
12/12/2017,36.77
12/19/2017,36.57
12/26/2017,36.66
1/2/2018,36.75
1/9/2018,37.02
1/16/2018,36.889999
1/23/2018,36.860001
1/30/2018,36.73
2/6/2018,35.919998
2/13/2018,35.849998
2/20/2018,36.220001
2/27/2018,36.360001
3/6/2018,36.049999
3/13/2018,36.029999
3/20/2018,35.869999
3/27/2018,35.84
4/3/2018,35.610001
4/10/2018,35.919998
4/17/2018,36.259998
4/24/2018,35.900002
5/1/2018,35.68
5/8/2018,35.740002
5/15/2018,35.75
5/22/2018,35.720001
5/29/2018,35.619999
6/5/2018,35.630001
6/12/2018,35.82
6/19/2018,35.84
6/26/2018,35.799999
7/3/2018,35.369999
7/10/2018,35.639999
7/17/2018,35.650002
7/24/2018,35.73
7/31/2018,35.93
8/7/2018,35.900002
8/14/2018,35.810001
8/21/2018,35.91
8/28/2018,36.029999
9/4/2018,35.810001
9/11/2018,35.810001
9/18/2018,35.990002
9/25/2018,35.939999
10/2/2018,35.970001
10/9/2018,35.5
10/16/2018,35.5
10/23/2018,35.259998
10/30/2018,35.07
11/6/2018,35.189999
11/13/2018,34.939999
11/20/2018,34.450001
11/27/2018,34.509998
12/4/2018,34.759998
12/11/2018,34.560001
12/18/2018,34.330002
12/25/2018,33.029999
1/1/2019,33.439999
1/8/2019,34.599998
1/15/2019,34.77
1/22/2019,35.040001
1/29/2019,35.029999
2/5/2019,35.299999
2/12/2019,35.360001
2/19/2019,35.470001
2/22/2019,35.560001
