date,price
1/1/2013,86.339996
1/8/2013,86.879997
1/15/2013,86.830002
1/22/2013,88.639999
1/29/2013,89.959999
2/5/2013,89.709999
2/12/2013,90.739998
2/19/2013,91.879997
2/26/2013,89.410004
3/5/2013,91.610001
3/12/2013,93.480003
3/19/2013,94.410004
3/26/2013,94.339996
4/2/2013,93.779999
4/9/2013,92.639999
4/16/2013,90.809998
4/23/2013,91.599998
4/30/2013,93.580002
5/7/2013,95.510002
5/14/2013,96.940002
5/21/2013,99.199997
5/28/2013,99.199997
6/4/2013,98.68
6/11/2013,97.68
6/18/2013,98.519997
6/25/2013,95.589996
7/2/2013,98.160004
7/9/2013,100.699997
7/16/2013,103.620003
7/23/2013,104.910004
7/30/2013,103.690002
8/6/2013,105.220001
8/13/2013,104.68
8/20/2013,100.769997
8/27/2013,101.940002
9/3/2013,101.860001
9/10/2013,104.580002
9/17/2013,105.059998
9/24/2013,106.459999
10/1/2013,106.559998
10/8/2013,105.839996
10/15/2013,107.989998
10/22/2013,110.949997
10/29/2013,111.330002
11/5/2013,109.550003
11/12/2013,109.07
11/19/2013,110.110001
11/26/2013,111.989998
12/3/2013,112.129997
12/10/2013,112.230003
12/17/2013,111.449997
12/24/2013,114.910004
12/31/2013,115.360001
1/7/2014,114.190002
1/14/2014,114.440002
1/21/2014,116.730003
1/28/2014,111.93
2/4/2014,109.190002
2/11/2014,111.120003
2/18/2014,114.400002
2/25/2014,116.660004
3/4/2014,118.199997
3/11/2014,119.410004
3/18/2014,118.220001
3/25/2014,117.669998
4/1/2014,116.629997
4/8/2014,112.809998
4/15/2014,111.029999
4/22/2014,113.629997
4/29/2014,111.419998
5/6/2014,111.410004
5/13/2014,112.379997
5/20/2014,110.480003
5/27/2014,112.709999
6/3/2014,111.639999
6/10/2014,116.629997
6/17/2014,116.040001
6/24/2014,117.739998
7/1/2014,119.260002
7/8/2014,117.510002
7/15/2014,115.559998
7/22/2014,114.470001
7/29/2014,113.389999
8/5/2014,111.110001
8/12/2014,112.940002
8/19/2014,115.129997
8/26/2014,115.879997
9/2/2014,116.980003
9/9/2014,116.360001
9/16/2014,113.779999
9/23/2014,111.900002
9/30/2014,110.919998
10/7/2014,108.019997
10/14/2014,105.230003
10/21/2014,109.330002
10/28/2014,111.510002
11/4/2014,115.900002
11/11/2014,117.120003
11/18/2014,116.160004
11/25/2014,118.220001
12/2/2014,114.989998
12/9/2014,114.959999
12/16/2014,113.32
12/23/2014,120.440002
12/30/2014,120.790001
1/6/2015,117.620003
1/13/2015,118.089996
1/20/2015,116.849998
1/27/2015,117.860001
2/3/2015,117.330002
2/10/2015,119.529999
2/17/2015,121.660004
2/24/2015,122.470001
3/3/2015,123.190002
3/10/2015,120.610001
3/17/2015,122.970001
