date,price
1/1/2013,279.25
1/2/2013,284.08
1/3/2013,283.68
1/4/2013,284.32
1/7/2013,285.65
1/8/2013,284.61
1/9/2013,285.94
1/10/2013,288.41
1/11/2013,289.55
1/14/2013,289
1/15/2013,289.38
1/16/2013,287.98
1/17/2013,289.2
1/18/2013,289.67
1/21/2013,290.76
1/22/2013,291.17
1/23/2013,290.31
1/24/2013,290.86
1/25/2013,292.37
1/28/2013,291.66
1/29/2013,292.19
1/30/2013,292.94
1/31/2013,292.74
2/1/2013,295.13
2/4/2013,292.31
2/5/2013,291.13
2/6/2013,292.94
2/7/2013,291.91
2/8/2013,293.42
2/11/2013,291.67
2/12/2013,293.88
2/13/2013,294.2
2/14/2013,293.28
2/15/2013,292.28
2/18/2013,292.92
2/19/2013,295.38
2/20/2013,295.32
2/21/2013,290.91
2/22/2013,292.07
2/25/2013,292.52
2/26/2013,289.86
2/27/2013,291.61
2/28/2013,293.88
3/1/2013,291.61
3/4/2013,291.32
3/5/2013,294.51
3/6/2013,295.35
3/7/2013,295.41
3/8/2013,294.77
3/11/2013,295.78
3/12/2013,295.68
3/13/2013,294.41
3/14/2013,296.99
3/15/2013,300.54
3/18/2013,297.87
3/19/2013,297
3/20/2013,297.38
3/21/2013,297.95
3/22/2013,297.53
3/25/2013,296.77
3/26/2013,297.27
3/27/2013,295.9
3/28/2013,297.1
3/29/2013,296.84
4/1/2013,294.38
4/2/2013,294.58
4/3/2013,294.78
4/4/2013,291.69
4/5/2013,291.15
4/8/2013,291.74
4/9/2013,293.16
4/10/2013,296.88
4/11/2013,299.79
4/12/2013,298.28
4/15/2013,294.26
4/16/2013,293.15
4/17/2013,290.45
4/18/2013,289.69
4/19/2013,290.62
4/22/2013,291.93
4/23/2013,295.11
4/24/2013,297.58
4/25/2013,300.5
4/26/2013,300.76
4/29/2013,302.23
4/30/2013,305.05
5/1/2013,304.85
5/2/2013,302.74
5/3/2013,304.85
5/6/2013,304.3
5/7/2013,306.79
5/8/2013,310.21
5/9/2013,308.93
5/10/2013,306.28
5/13/2013,306.16
5/14/2013,306.09
5/15/2013,304.52
5/16/2013,305.26
5/17/2013,304.73
5/20/2013,307.04
5/21/2013,307.27
