date,price
1/1/2013,29.360001
1/8/2013,29.264999
1/15/2013,29.309999
1/22/2013,29.299999
1/29/2013,29.1
2/5/2013,29.055
2/12/2013,29.055
2/19/2013,29.129999
2/26/2013,29.23
3/5/2013,29.18
3/12/2013,29.030001
3/19/2013,29.129999
3/26/2013,29.125
4/2/2013,29.120001
4/9/2013,29.325001
4/16/2013,29.4
4/23/2013,29.440001
4/30/2013,29.5
5/7/2013,29.334999
5/14/2013,29.174999
5/21/2013,29.07
5/28/2013,29.004999
6/4/2013,28.785
6/11/2013,28.57
6/18/2013,28.66
6/25/2013,28.24
7/2/2013,28.385
7/9/2013,28.16
7/16/2013,28.290001
7/23/2013,28.434999
7/30/2013,28.389999
8/6/2013,28.275
8/13/2013,28.295
8/20/2013,28.01
8/27/2013,28.129999
9/3/2013,27.995001
9/10/2013,27.9
9/17/2013,28.16
9/24/2013,28.32
10/1/2013,28.35
10/8/2013,28.385
10/15/2013,28.370001
10/22/2013,28.540001
10/29/2013,28.575001
11/5/2013,28.405001
11/12/2013,28.355
11/19/2013,28.495001
11/26/2013,28.424999
12/3/2013,28.325001
12/10/2013,28.295
12/17/2013,28.290001
12/24/2013,28.299999
12/31/2013,28.225
1/7/2014,28.299999
1/14/2014,28.424999
1/21/2014,28.405001
1/28/2014,28.455
2/4/2014,28.555
2/11/2014,28.52
2/18/2014,28.540001
2/25/2014,28.559999
3/4/2014,28.645
3/11/2014,28.48
3/18/2014,28.59
3/25/2014,28.434999
4/1/2014,28.51
4/8/2014,28.565001
4/15/2014,28.629999
4/22/2014,28.6
4/29/2014,28.690001
5/6/2014,28.785
5/13/2014,28.825001
5/20/2014,28.895
5/27/2014,28.950001
6/3/2014,28.875
6/10/2014,28.77
6/17/2014,28.82
6/24/2014,28.885
7/1/2014,28.9
7/8/2014,28.815001
7/15/2014,28.860001
7/22/2014,28.915001
7/29/2014,28.92
8/5/2014,28.815001
8/12/2014,28.885
8/19/2014,29.01
8/26/2014,28.985001
9/2/2014,28.924999
9/9/2014,28.825001
9/16/2014,28.799999
9/23/2014,28.815001
9/30/2014,28.889999
10/7/2014,28.940001
10/14/2014,29.165001
10/21/2014,29.16
10/28/2014,29.115
11/4/2014,28.959999
11/11/2014,28.92
11/18/2014,29.01
11/25/2014,29.09
12/2/2014,29.1
12/9/2014,29.15
12/16/2014,29.190001
12/23/2014,29.145
12/30/2014,29.184999
1/6/2015,29.415001
1/13/2015,29.5
1/20/2015,29.6
1/27/2015,29.625
2/3/2015,29.68
2/10/2015,29.370001
2/17/2015,29.295
2/24/2015,29.315001
3/3/2015,29.23
3/10/2015,29.135
3/17/2015,29.254999
3/24/2015,29.485001
3/31/2015,29.450001
4/7/2015,29.455
4/14/2015,29.549999
4/21/2015,29.475
4/28/2015,29.43
5/5/2015,29.139999
5/12/2015,28.895
5/19/2015,28.895
5/26/2015,29.02
6/2/2015,28.879999
6/9/2015,28.735001
6/16/2015,28.75
6/23/2015,28.645
6/30/2015,28.674999
7/7/2015,28.91
7/14/2015,28.65
7/21/2015,28.665001
7/28/2015,28.799999
8/4/2015,28.860001
8/11/2015,28.885
8/18/2015,28.82
8/25/2015,28.895
9/1/2015,28.735001
9/8/2015,28.764999
9/15/2015,28.75
9/22/2015,28.844999
9/29/2015,28.885
10/6/2015,28.84
