date,price
1/1/2013,170.53
1/2/2013,172.7
1/3/2013,172.6
1/4/2013,173.24
1/7/2013,173.92
1/8/2013,172.78
1/9/2013,173.92
1/10/2013,174.34
1/11/2013,173.92
1/14/2013,174.38
1/15/2013,175.21
1/16/2013,174.76
1/17/2013,174.45
1/18/2013,175.11
1/21/2013,175.14
1/22/2013,175.94
1/23/2013,175.36
1/24/2013,175.51
1/25/2013,176.09
1/28/2013,176.17
1/29/2013,176.49
1/30/2013,176.74
1/31/2013,176.18
2/1/2013,176.45
2/4/2013,175.81
2/5/2013,174.36
2/6/2013,174.99
2/7/2013,174.3
2/8/2013,175.12
2/11/2013,174.79
2/12/2013,175.99
2/13/2013,176.04
2/14/2013,175.79
2/15/2013,175.39
2/18/2013,175.8
2/19/2013,176.63
2/20/2013,176.37
2/21/2013,174.69
2/22/2013,175.46
2/25/2013,174.45
2/26/2013,174.52
2/27/2013,175.76
2/28/2013,177.27
3/1/2013,177.48
3/4/2013,177.57
3/5/2013,178.32
3/6/2013,178.78
3/7/2013,178.37
3/8/2013,178.33
3/11/2013,178.8
3/12/2013,178.23
3/13/2013,177.64
3/14/2013,179.17
3/15/2013,179.76
3/18/2013,177.99
3/19/2013,177.3
3/20/2013,177.84
3/21/2013,177.57
3/22/2013,178.08
3/25/2013,179.06
3/26/2013,179.88
3/27/2013,180.73
3/28/2013,180.67
3/29/2013,180.44
4/1/2013,179.41
4/2/2013,181.14
4/3/2013,181.05
4/4/2013,182.37
4/5/2013,184.21
4/8/2013,185.57
4/9/2013,185.1
4/10/2013,186.53
4/11/2013,187.91
4/12/2013,189.49
4/15/2013,186.56
4/16/2013,187.52
4/17/2013,186.93
4/18/2013,186.58
4/19/2013,188.93
4/22/2013,188.82
4/23/2013,188.67
4/24/2013,189.9
4/25/2013,190.1
4/26/2013,189.55
4/29/2013,190.67
4/30/2013,192.53
5/1/2013,192
5/2/2013,192.03
5/3/2013,192.29
5/6/2013,192.85
5/7/2013,193.99
5/8/2013,194.28
5/9/2013,192.68
5/10/2013,192.28
5/13/2013,192.26
5/14/2013,191.39
5/15/2013,191.56
5/16/2013,191.55
5/17/2013,192.48
5/20/2013,193.5
5/21/2013,193.07
5/22/2013,190.11
5/23/2013,185.16
5/24/2013,184.86
5/27/2013,185.08
5/28/2013,184.27
5/29/2013,181.83
5/30/2013,179.09
5/31/2013,177.89
6/3/2013,177.08
6/4/2013,177.21
6/5/2013,174.73
6/6/2013,174.83
6/7/2013,175.63
6/10/2013,174.48
6/11/2013,171.73
6/12/2013,170.59
6/13/2013,171.3
6/14/2013,173.83
6/17/2013,174.35
6/18/2013,174.73
6/19/2013,172.69
6/20/2013,164.87
6/21/2013,164.84
6/24/2013,162.9
6/25/2013,164.12
6/26/2013,166.45
6/27/2013,169.75
6/28/2013,171.16
7/1/2013,170.68
7/2/2013,172.67
7/3/2013,171.22
7/4/2013,172.05
7/5/2013,171.85
7/8/2013,170.49
7/9/2013,172.35
7/10/2013,172.42
7/11/2013,176.71
7/12/2013,176.06
7/15/2013,176.49
7/16/2013,176.82
7/17/2013,176.74
7/18/2013,177.53
7/19/2013,177.25
7/22/2013,178.35
7/23/2013,178.73
7/24/2013,176.88
7/25/2013,176.69
7/26/2013,176.49
7/29/2013,174.94
7/30/2013,174.46
7/31/2013,172.5
8/1/2013,173.31
8/2/2013,173.9
8/5/2013,173.92
8/6/2013,174.29
8/7/2013,172.92
8/8/2013,173.53
8/9/2013,174.23
8/12/2013,173.02
8/13/2013,172.34
8/14/2013,172.58
8/15/2013,170.2
8/16/2013,168.52
8/19/2013,167.01
8/20/2013,167.58
8/21/2013,166.73
8/22/2013,165.93
8/23/2013,167.57
8/26/2013,167.54
8/27/2013,166.38
8/28/2013,164.86
8/29/2013,165.05
8/30/2013,164.97
9/2/2013,166.04
9/3/2013,165.51
9/4/2013,166.19
9/5/2013,165.27
9/6/2013,166.49
9/9/2013,169.38
9/10/2013,170.59
9/11/2013,171.47
9/12/2013,171.08
9/13/2013,170.98
9/16/2013,173.07
9/17/2013,172.83
9/18/2013,175.58
9/19/2013,178.64
9/20/2013,176.54
9/23/2013,176.12
9/24/2013,174.8
9/25/2013,174.96
9/26/2013,174.99
9/27/2013,175.19
9/30/2013,173.69
10/1/2013,175.05
10/2/2013,174.77
10/3/2013,173.51
10/4/2013,173.08
10/7/2013,172.36
10/8/2013,172.21
10/9/2013,172.92
10/10/2013,175.2
10/11/2013,176.77
10/14/2013,176.92
10/15/2013,176.5
10/16/2013,177.8
