date,price
2/21/2019,428.1907
2/20/2019,427.1003
2/19/2019,424.2099
2/15/2019,423.3971
2/14/2019,416.2431
2/13/2019,414.6913
2/12/2019,410.362
2/11/2019,406.2719
2/8/2019,407.8909
2/7/2019,406.1776
2/6/2019,412.0038
2/5/2019,410.2135
2/4/2019,412.6717
2/1/2019,413.3026
1/31/2019,407.8907
1/30/2019,410.3765
1/29/2019,407.1027
1/28/2019,401.2753
1/25/2019,409.6907
1/24/2019,406.6508
1/23/2019,405.7503
1/22/2019,406.5972
1/18/2019,413.2006
1/17/2019,406.0504
1/16/2019,406.2735
1/15/2019,404.3959
1/14/2019,399.6378
1/11/2019,402.925
1/10/2019,405.7726
1/9/2019,405.3552
1/8/2019,394.4705
1/7/2019,389.1942
1/4/2019,386.7994
1/3/2019,381.1982
1/2/2019,377.9058
12/31/2018,374.3282
12/28/2018,374.9827
12/27/2018,374.1741
12/26/2018,380.2251
12/24/2018,367.2925
12/21/2018,380.3173
12/20/2018,381.781
12/19/2018,392.6304
12/18/2018,387.8716
12/17/2018,400.479
12/14/2018,406.0863
12/13/2018,412.912
12/12/2018,407.9208
12/11/2018,409.5523
12/10/2018,408.3516
12/7/2018,416.2114
12/6/2018,407.6834
12/5/2018,415.7509
12/4/2018,417.0622
12/3/2018,414.7629
11/30/2018,406.5197
11/29/2018,408.1333
11/28/2018,404.3772
11/27/2018,406.197
11/26/2018,407.8924
11/23/2018,403.5558
11/21/2018,422.1278
11/20/2018,418.3737
11/19/2018,435.2445
11/16/2018,432.3761
11/15/2018,429.9821
11/14/2018,432.8292
11/13/2018,426.4164
11/12/2018,441.4706
11/9/2018,440.5506
11/8/2018,443.3456
11/7/2018,447.2286
11/6/2018,446.9656
11/5/2018,451.2855
11/2/2018,450.5379
11/1/2018,450.8188
10/31/2018,456.3168
10/30/2018,459.7746
10/29/2018,465.4103
10/26/2018,468.08
10/25/2018,465.1067
10/24/2018,463.9168
10/23/2018,464.035
10/22/2018,475.3219
10/19/2018,474.7219
10/18/2018,472.8017
10/17/2018,477.9863
10/16/2018,484.6869
10/15/2018,483.9433
10/12/2018,480.6621
10/11/2018,478.671
10/10/2018,488.3504
10/9/2018,496.3946
10/8/2018,493.508
10/5/2018,494.3109
10/4/2018,495.1614
10/3/2018,502.5525
10/2/2018,497.9369
10/1/2018,496.0365
9/28/2018,486.2794
9/27/2018,481.2402
9/26/2018,479.6912
9/25/2018,482.499
9/24/2018,480.3642
9/21/2018,473.8382
9/20/2018,471.2704
9/19/2018,471.9473
9/18/2018,467.8025
9/17/2018,463.4147
9/14/2018,464.3772
9/13/2018,464.2708
9/12/2018,471.3854
9/11/2018,467.2802
9/10/2018,462.5088
9/7/2018,461.0309
9/6/2018,459.7934
9/5/2018,463.4786
9/4/2018,468.1035
8/31/2018,468.6881
8/30/2018,469.2934
8/29/2018,467.9913
8/28/2018,463.3309
8/27/2018,465.0626
8/24/2018,463.7911
8/23/2018,459.2963
8/22/2018,460.3274
8/21/2018,453.8197
8/20/2018,452.3584
8/17/2018,451.6321
8/16/2018,449.3702
8/15/2018,445.1233
8/14/2018,454.9929
8/13/2018,455.0858
8/10/2018,458.1783
8/9/2018,457.1736
8/8/2018,458.4124
8/7/2018,466.673
8/6/2018,464.4977
8/3/2018,462.145
8/2/2018,462.0272
8/1/2018,457.5209
7/31/2018,464.8324
7/30/2018,469.4068
7/27/2018,464.6572
7/26/2018,467.0059
7/25/2018,465.3007
7/24/2018,460.6075
7/23/2018,457.8727
7/20/2018,457.5819
7/19/2018,455.1825
7/18/2018,454.2964
7/17/2018,451.581
7/16/2018,450.7329
7/13/2018,463.3692
7/12/2018,461.4731
7/11/2018,459.3806
7/10/2018,480.6399
7/9/2018,481.1086
7/6/2018,480.7299
7/5/2018,478.6123
7/3/2018,480.9957
7/2/2018,479.5724
6/29/2018,487.4372
6/28/2018,481.5457
6/27/2018,481.2306
6/26/2018,473.0555
6/25/2018,466.269
6/22/2018,471.4514
6/21/2018,460.7342
6/20/2018,463.7644
6/19/2018,462.6469
6/18/2018,467.3852
6/15/2018,463.615
6/14/2018,474.1442
6/13/2018,478.0151
6/12/2018,476.473
6/11/2018,475.3482
6/8/2018,476.1698
6/7/2018,477.434
6/6/2018,471.2806
6/5/2018,472.1969
6/4/2018,470.5007
6/1/2018,477.1119
5/31/2018,481.4273
5/30/2018,483.6898
5/29/2018,477.0781
5/25/2018,482.0706
5/24/2018,491.4913
5/23/2018,495.1131
5/22/2018,494.8326
5/21/2018,493.0637
5/18/2018,489.131
5/17/2018,490.2155
5/16/2018,489.2016
5/15/2018,487.5075
5/14/2018,486.7079
5/11/2018,484.4275
5/10/2018,487.1351
5/9/2018,485.6439
5/8/2018,477.0129
5/7/2018,482.5539
5/4/2018,479.456
5/3/2018,474.2769
5/2/2018,472.5157
5/1/2018,470.9179
4/30/2018,475.7616
4/27/2018,473.1549
4/26/2018,473.5333
4/25/2018,471.9954
4/24/2018,470.4167
4/23/2018,473.5233
4/20/2018,473.7708
4/19/2018,474.0286
4/18/2018,474.7754
4/17/2018,464.8517
4/16/2018,464.5093
4/13/2018,468.3058
4/12/2018,466.8654
4/11/2018,466.7248
4/10/2018,461.1467
4/9/2018,451.9067
4/6/2018,443.7237
4/5/2018,448.4565
4/4/2018,445.717
4/3/2018,446.9049
4/2/2018,445.071
3/29/2018,452.9353
3/28/2018,450.0293
3/27/2018,453.0515
3/26/2018,453.4246
3/23/2018,455.1745
3/22/2018,450.3
3/21/2018,453.4703
3/20/2018,446.1503
3/19/2018,441.2909
3/16/2018,444.6293
3/15/2018,441.3167
3/14/2018,441.6077
3/13/2018,440.5718
3/12/2018,441.5023
3/9/2018,444.3967
3/8/2018,437.7025
3/7/2018,441.5402
3/6/2018,448.2156
3/5/2018,447.5448
3/2/2018,441.5647
3/1/2018,441.0432
2/28/2018,443.3807
2/27/2018,450.0928
2/26/2018,453.677
2/23/2018,451.5292
2/22/2018,448.8438
2/21/2018,444.5726
2/20/2018,444.2095
2/16/2018,443.5926
2/15/2018,441.532
2/14/2018,439.1403
2/13/2018,431.7043
2/12/2018,430.4984
2/9/2018,428.5254
2/8/2018,438.0631
2/7/2018,440.3374
2/6/2018,447.379
2/5/2018,451.5974
2/2/2018,456.5336
2/1/2018,460.2272
1/31/2018,456.533
1/30/2018,456.6109
1/29/2018,460.5895
1/26/2018,463.445
1/25/2018,460.8564
1/24/2018,461.3625
1/23/2018,455.6685
1/22/2018,452.3482
1/19/2018,450.3725
1/18/2018,453.1232
1/17/2018,452.7379
1/16/2018,450.9068
1/12/2018,453.2331
1/11/2018,451.2194
1/10/2018,450.447
1/9/2018,448.4031
1/8/2018,443.7555
1/5/2018,443.7559
1/4/2018,447.8279
1/3/2018,447.1414
1/2/2018,442.7151
12/29/2017,442.4357
12/28/2017,439.902
12/27/2017,437.5827
12/26/2017,437.2558
12/22/2017,429.3362
12/21/2017,427.7987
12/20/2017,425.9833
12/19/2017,422.8235
12/18/2017,421.1064
12/15/2017,419.7015
12/14/2017,418.7631
12/13/2017,415.8313
12/12/2017,418.4786
12/11/2017,423.4001
12/8/2017,420.3289
12/7/2017,416.6986
12/6/2017,414.6364
12/5/2017,422.7431
12/4/2017,423.5571
12/1/2017,429.4847
11/30/2017,424.2574
11/29/2017,426.1139
11/28/2017,428.785
11/27/2017,429.6232
11/24/2017,431.2306
11/22/2017,429.0203
11/21/2017,424.662
11/20/2017,422.8238
11/17/2017,425.3512
11/16/2017,418.7493
11/15/2017,420.623
11/14/2017,421.8385
11/13/2017,428.5262
11/10/2017,428.5886
11/9/2017,429.1921
11/8/2017,427.3942
11/7/2017,427.5842
11/6/2017,429.4419
11/3/2017,420.5946
11/2/2017,415.7047
11/1/2017,415.1633
10/31/2017,415.1419
10/30/2017,413.8049
10/27/2017,412.0391
10/26/2017,408.5425
10/25/2017,406.4425
10/24/2017,406.7582
10/23/2017,402.94
10/20/2017,402.3825
10/19/2017,401.0285
10/18/2017,403.3208
10/17/2017,403.2407
10/16/2017,404.657
10/13/2017,402.7995
10/12/2017,398.0978
10/11/2017,399.6354
10/10/2017,398.5061
10/9/2017,392.4628
10/6/2017,391.8488
10/5/2017,398.7031
10/4/2017,393.7277
10/3/2017,393.8475
10/2/2017,393.9778
9/29/2017,399.3082
9/28/2017,400.2006
9/27/2017,402.2653
9/26/2017,401.5727
9/25/2017,404.2501
9/22/2017,398.0375
9/21/2017,397.2739
9/20/2017,398.6966
9/19/2017,393.5033
9/18/2017,394.9353
9/15/2017,395.8953
9/14/2017,394.2261
9/13/2017,392.4128
9/12/2017,388.646
9/11/2017,388.1581
9/8/2017,387.1843
9/7/2017,392.3396
9/6/2017,392.4347
9/5/2017,389.9737
9/1/2017,386.3811
8/31/2017,386.0041
8/30/2017,375.8529
8/29/2017,377.476
8/28/2017,376.9611
8/25/2017,379.0568
8/24/2017,378.9851
8/23/2017,379.9869
8/22/2017,377.4468
8/21/2017,376.5018
8/18/2017,380.6806
8/17/2017,374.8979
8/16/2017,374.2851
8/15/2017,376.6494
8/14/2017,378.0174
8/11/2017,382.9955
8/10/2017,381.9255
8/9/2017,386.8873
8/8/2017,384.909
8/7/2017,384.8031
8/4/2017,384.5056
8/3/2017,383.1706
8/2/2017,385.7698
8/1/2017,382.9646
7/31/2017,388.0653
7/28/2017,386.6244
7/27/2017,383.9297
7/26/2017,381.3155
7/25/2017,376.839
7/24/2017,371.2061
7/21/2017,371.1716
7/20/2017,376.8842
7/19/2017,377.8998
7/18/2017,373.5721
7/17/2017,371.8964
7/14/2017,373.457
7/13/2017,370.3364
7/12/2017,370.2211
7/11/2017,370.2547
7/10/2017,366.9154
7/7/2017,365.5075
7/6/2017,371.3117
7/5/2017,369.9195
7/3/2017,377.7247
6/30/2017,372.3775
6/29/2017,365.3345
6/28/2017,362.6142
6/27/2017,359.6506
6/26/2017,355.5029
6/23/2017,353.8007
6/22/2017,352.5214
6/21/2017,352.701
6/20/2017,357.1031
6/19/2017,361.3823
6/16/2017,364.1684
6/15/2017,361.8502
6/14/2017,362.0615
6/13/2017,369.8779
6/12/2017,368.351
6/9/2017,369.8074
6/8/2017,367.897
6/7/2017,366.9945
6/6/2017,374.5466
6/5/2017,371.7249
6/2/2017,374.34
6/1/2017,377.3587
5/31/2017,377.8538
5/30/2017,382.8646
5/26/2017,385.5037
5/25/2017,383.1072
5/24/2017,391.9235
5/23/2017,393.0433
5/22/2017,393.6728
5/19/2017,391.0425
5/18/2017,384.1071
5/17/2017,384.3497
5/16/2017,381.7681
5/15/2017,382.6323
5/12/2017,379.4957
5/11/2017,378.2908
5/10/2017,375.5445
5/9/2017,368.8762
5/8/2017,371.101
5/5/2017,371.3916
5/4/2017,367.8158
5/3/2017,378.7984
5/2/2017,378.1374
5/1/2017,381.6419
4/28/2017,382.7658
4/27/2017,380.3774
4/26/2017,383.2932
4/25/2017,383.5655
4/24/2017,381.2374
4/21/2017,383.0313
4/20/2017,387.6963
4/19/2017,388.826
4/18/2017,396.5438
4/17/2017,399.3124
4/13/2017,401.5849
4/12/2017,400.0584
4/11/2017,400.6285
4/10/2017,398.8447
4/7/2017,395.1998
4/6/2017,392.84
4/5/2017,390.7051
4/4/2017,389.4127
4/3/2017,385.5981
3/31/2017,388.2245
3/30/2017,387.1602
3/29/2017,384.8147
3/28/2017,380.0385
3/27/2017,376.7111
3/24/2017,378.1291
3/23/2017,377.4397
3/22/2017,378.2215
3/21/2017,379.4072
3/20/2017,382.1577
3/17/2017,383.1182
3/16/2017,382.2588
3/15/2017,381.8932
3/14/2017,377.2074
3/13/2017,380.157
3/10/2017,380.0577
3/9/2017,382.6021
3/8/2017,387.6655
3/7/2017,397.4435
3/6/2017,398.7814
3/3/2017,398.5617
3/2/2017,396.1177
3/1/2017,403.2331
2/28/2017,402.2199
2/27/2017,401.0648
2/24/2017,401.8312
2/23/2017,403.7389
2/22/2017,401.5777
2/21/2017,404.5119
2/17/2017,403.0254
2/16/2017,403.7078
2/15/2017,405.4751
2/14/2017,405.1003
2/13/2017,403.7795
2/10/2017,407.8333
2/9/2017,401.757
2/8/2017,398.7772
2/7/2017,395.5037
2/6/2017,396.761
2/3/2017,400.3779
2/2/2017,400.3532
2/1/2017,401.7024
1/31/2017,395.8302
1/30/2017,393.5065
1/27/2017,397.469
1/26/2017,400.6841
1/25/2017,397.9268
1/24/2017,400.1687
1/23/2017,398.7683
1/20/2017,399.4118
1/19/2017,394.9597
1/18/2017,395.1731
1/17/2017,400.9086
1/13/2017,399.853
1/12/2017,400.6808
1/11/2017,394.6401
1/10/2017,389.0093
1/9/2017,390.4835
1/6/2017,398.1776
1/5/2017,397.8392
1/4/2017,396.144
1/3/2017,390.6612
12/30/2016,398.2039
12/29/2016,398.4751
12/28/2016,399.1763
12/27/2016,398.2175
12/23/2016,391.8889
12/22/2016,391.9536
12/21/2016,390.6964
12/20/2016,392.325
12/19/2016,392.0844
12/16/2016,393.4646
12/15/2016,389.2454
12/14/2016,391.1406
12/13/2016,396.8989
12/12/2016,396.3951
12/9/2016,390.8428
12/8/2016,387.0053
12/7/2016,383.4241
12/6/2016,387.1198
12/5/2016,390.1755
12/2/2016,386.3882
12/1/2016,384.7689
11/30/2016,377.2212
11/29/2016,359.9978
11/28/2016,370.4019
11/25/2016,365.1407
11/23/2016,371.2393
11/22/2016,370.9846
11/21/2016,370.5452
11/18/2016,359.7137
11/17/2016,357.9671
11/16/2016,357.5569
11/15/2016,359.3576
11/14/2016,349.766
11/11/2016,351.1986
11/10/2016,356.2386
11/9/2016,356.546
11/8/2016,354.6484
11/7/2016,352.9209
11/4/2016,349.0992
11/3/2016,352.2894
11/2/2016,354.9023
11/1/2016,360.6041
10/31/2016,361.623
10/28/2016,370.0137
10/27/2016,373.7386
10/26/2016,370.4695
10/25/2016,373.1124
10/24/2016,374.9516
10/21/2016,375.7823
10/20/2016,374.0859
10/19/2016,379.4907
10/18/2016,375.5601
10/17/2016,374.6177
10/14/2016,375.6256
10/13/2016,375.8055
10/12/2016,372.7581
10/11/2016,375.6259
10/10/2016,378.3406
10/7/2016,371.8091
10/6/2016,372.8487
10/5/2016,371.7398
10/4/2016,367.416
10/3/2016,366.8122
9/30/2016,364.4711
9/29/2016,363.3261
9/28/2016,360.2212
9/27/2016,350.3949
9/26/2016,356.4594
9/23/2016,351.5254
9/22/2016,358.8885
9/21/2016,354.9034
9/20/2016,350.1887
9/19/2016,348.9582
9/16/2016,348.097
9/15/2016,349.4894
9/14/2016,346.4749
9/13/2016,350.5953
9/12/2016,356.8136
9/9/2016,354.7663
9/8/2016,361.9946
9/7/2016,352.1809
9/6/2016,348.1937
9/2/2016,347.1834
9/1/2016,341.8668
8/31/2016,348.2078
8/30/2016,355.7208
8/29/2016,359.1407
8/26/2016,363.0742
8/25/2016,363.1474
8/24/2016,361.5161
8/23/2016,367.0327
8/22/2016,364.4031
8/19/2016,370.4368
8/18/2016,370.7658
8/17/2016,365.0781
8/16/2016,363.1522
8/15/2016,359.6467
8/12/2016,353.1175
8/11/2016,349.7069
8/10/2016,341.6328
8/9/2016,345.2763
8/8/2016,346.9429
8/5/2016,342.0263
8/4/2016,340.6718
8/3/2016,336.8074
8/2/2016,330.8527
8/1/2016,332.4301
7/29/2016,339.3952
7/28/2016,336.681
7/27/2016,339.4046
7/26/2016,344.3502
7/25/2016,345.149
7/22/2016,349.0322
7/21/2016,350.8886
7/20/2016,354.9893
7/19/2016,355.3385
7/18/2016,358.4307
7/15/2016,361.1228
7/14/2016,362.2525
7/13/2016,358.09
7/12/2016,365.5357
7/11/2016,355.9115
7/8/2016,358.0367
7/7/2016,355.2742
7/6/2016,365.9633
7/5/2016,364.3136
7/1/2016,376.4418
6/30/2016,374.0323
6/29/2016,380.3304
6/28/2016,372.1003
6/27/2016,364.0715
6/24/2016,369.2264
6/23/2016,380.7176
6/22/2016,377.0274
6/21/2016,380.1584
6/20/2016,382.8874
6/17/2016,376.8463
6/16/2016,367.8065
6/15/2016,376.1724
6/14/2016,379.1561
6/13/2016,381.3
6/10/2016,381.264
6/9/2016,387.7624
6/8/2016,389.8253
6/7/2016,382.3739
6/6/2016,378.7733
6/3/2016,374.021
6/2/2016,374.5462
6/1/2016,371.6658
5/31/2016,370.9456
5/27/2016,371.8813
5/26/2016,371.5996
5/25/2016,370.6848
5/24/2016,366.1177
5/23/2016,364.8938
5/20/2016,367.3041
5/19/2016,366.954
5/18/2016,369.9759
5/17/2016,370.7639
5/16/2016,367.6645
5/13/2016,361.7193
5/12/2016,362.917
5/11/2016,361.1458
5/10/2016,351.7183
5/9/2016,342.8921
5/6/2016,350.6179
5/5/2016,347.8143
5/4/2016,347.7131
5/3/2016,348.3384
5/2/2016,355.1299
4/29/2016,360.407
4/28/2016,359.5602
4/27/2016,356.0933
4/26/2016,351.6755
4/25/2016,345.233
4/22/2016,347.9833
4/21/2016,348.3323
4/20/2016,352.4818
4/19/2016,343.5662
4/18/2016,335.8521
4/15/2016,336.2497
4/14/2016,339.6728
4/13/2016,341.9822
4/12/2016,341.5834
4/11/2016,331.9992
4/8/2016,329.0248
4/7/2016,316.2252
4/6/2016,317.5926
4/5/2016,310.4056
4/4/2016,311.3678
4/1/2016,316.4048
3/31/2016,323.4185
3/30/2016,323.3024
3/29/2016,324.2058
3/28/2016,327.8384
3/24/2016,327.907
3/23/2016,329.3739
3/22/2016,337.5255
3/21/2016,336.1453
3/18/2016,335.3031
3/17/2016,337.8768
3/16/2016,330.6971
3/15/2016,323.8336
3/14/2016,327.1337
3/11/2016,331.4096
3/10/2016,327.398
3/9/2016,328.7305
3/8/2016,320.5834
3/7/2016,324.2092
3/4/2016,314.6847
3/3/2016,307.1584
3/2/2016,306.3862
3/1/2016,304.7254
2/29/2016,303.6298
2/26/2016,300.0019
2/25/2016,300.7
2/24/2016,297.8511
2/23/2016,294.4606
2/22/2016,300.7004
2/19/2016,293.7318
2/18/2016,299.1719
2/17/2016,300.4153
2/16/2016,290.9748
2/12/2016,294.9782
2/11/2016,281.7048
2/10/2016,282.2881
2/9/2016,280.6136
2/8/2016,288.8855
2/5/2016,291.6371
2/4/2016,293.7004
2/3/2016,295.3005
2/2/2016,285.539
2/1/2016,292.9208
1/29/2016,300.6679
1/28/2016,296.2633
1/27/2016,293.4082
1/26/2016,288.8254
1/25/2016,283.1458
1/22/2016,290.2003
1/21/2016,278.0414
1/20/2016,271.806
1/19/2016,277.8981
1/15/2016,279.1693
1/14/2016,287.0227
1/13/2016,284.6477
1/12/2016,284.7576
1/11/2016,287.6189
1/8/2016,295.5682
1/7/2016,295.708
1/6/2016,297.9527
1/5/2016,307.1594
1/4/2016,309.638
12/31/2015,311.6524
12/30/2015,309.116
12/29/2015,315.2288
12/28/2015,309.4641
12/24/2015,314.0067
12/23/2015,311.729
12/22/2015,305.0127
12/21/2015,305.9356
12/18/2015,307.3863
12/17/2015,305.491
12/16/2015,307.7379
12/15/2015,314.2444
12/14/2015,312.3952
12/11/2015,313.9194
12/10/2015,319.5453
12/9/2015,319.067
12/8/2015,318.9979
12/7/2015,320.0561
12/4/2015,331.3569
12/3/2015,333.439
12/2/2015,328.3091
12/1/2015,337.6981
11/30/2015,336.1496
11/27/2015,337.2942
11/25/2015,343.7227
11/24/2015,343.3872
11/23/2015,338.7375
11/20/2015,337.7184
11/19/2015,337.4616
11/18/2015,337.0207
11/17/2015,335.889
11/16/2015,339.2868
11/13/2015,339.4793
11/12/2015,343.682
11/11/2015,348.067
11/10/2015,351.537
11/9/2015,350.9773
11/6/2015,353.6779
11/5/2015,355.4139
11/4/2015,360.0661
11/3/2015,368.1716
11/2/2015,360.5356
10/30/2015,363.4441
10/29/2015,360.4427
10/28/2015,361.5774
10/27/2015,351.2399
10/26/2015,354.6495
10/23/2015,357.0905
10/22/2015,359.9578
10/21/2015,359.1479
10/20/2015,362.7341
10/19/2015,361.6075
10/16/2015,369.2053
10/15/2015,366.5813
10/14/2015,368.1917
10/13/2015,368.5896
10/12/2015,370.2623
10/9/2015,379.5216
10/8/2015,378.0004
10/7/2015,372.5723
10/6/2015,374.6524
10/5/2015,363.648
10/2/2015,358.2474
10/1/2015,356.7047
9/30/2015,359.3369
9/29/2015,358.6688
9/28/2015,355.6992
9/25/2015,362.0137
9/24/2015,358.3102
9/23/2015,357.2586
9/22/2015,362.2761
9/21/2015,364.5834
9/18/2015,357.5946
9/17/2015,365.7614
9/16/2015,368.3738
9/15/2015,360.4379
9/14/2015,359.6135
9/11/2015,363.4742
9/10/2015,366.6428
9/9/2015,359.9198
9/8/2015,366.926
9/4/2015,364.873
9/3/2015,369.6658
9/2/2015,366.6423
9/1/2015,364.1357
8/31/2015,380.848
8/28/2015,365.6513
8/27/2015,353.6202
8/26/2015,335.507
8/25/2015,339.7486
8/24/2015,336.8843
8/21/2015,348.1086
8/20/2015,355.1996
8/19/2015,354.7857
8/18/2015,362.2699
8/17/2015,362.4
8/14/2015,365.0184
8/13/2015,365.6709
8/12/2015,367.8911
8/11/2015,367.051
8/10/2015,375.0413
8/7/2015,365.4186
8/6/2015,367.4255
8/5/2015,369.3241
